(u'svr-eq-strategy', u'VEA', 615, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'VEA', 615, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'EWX', 741, u'EQUITY', 929495, 2159, 'CSTLNM26')
(u'svr-eq-strategy', u'MSFT', 1877, u'EQUITY', 929495, 2159, 'CSTLNM26')
(u'svr-eq-strategy', u'MSFT', 1877, u'EQUITY', 929496, 2555, 'CSTLNM85')
(u'svr-eq-strategy', u'HBAN', 1882, u'EQUITY', 929495, 2159, 'CSTLNM26')
(u'svr-eq-strategy', u'HBAN', 1882, u'EQUITY', 929496, 2555, 'CSTLNM85')
(u'svr-eq-strategy', u'QCOM', 1883, u'EQUITY', 929495, 2159, 'CSTLNM26')
(u'svr-eq-strategy', u'QCOM', 1883, u'EQUITY', 929496, 2555, 'CSTLNM85')
(u'svr-eq-strategy', u'TXN', 1884, u'EQUITY', 929495, 2159, 'CSTLNM26')
(u'svr-eq-strategy', u'TXN', 1884, u'EQUITY', 929493, 19591, 'CSTLNM85')
(u'svr-eq-strategy', u'ADI', 1886, u'EQUITY', 929493, 19591, 'CSTLNM85')
(u'svr-eq-strategy', u'ADI', 1886, u'EQUITY', 929494, 19592, 'CSTLNM26')
(u'svr-eq-strategy', u'ISIL', 1906, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'ISIL', 1906, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'JDSU', 1908, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'JDSU', 1908, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'MXIM', 1913, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'MXIM', 1913, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'ATVI', 2054, u'EQUITY', 929493, 19591, 'CSTLNM85')
(u'svr-eq-strategy', u'ATVI', 2054, u'EQUITY', 929494, 19592, 'CSTLNM26')
(u'svr-eq-strategy', u'CSCO', 2260, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'CSCO', 2260, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'NVAX', 2937, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'NVAX', 2937, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'NVDA', 2938, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'NVDA', 2938, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'PLUG', 3048, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'PLUG', 3048, u'EQUITY', 929498, 19583, 'CSTLNM85')
(u'svr-eq-strategy', u'SAPE', 3173, u'EQUITY', 929497, 19582, 'CSTLNM26')
(u'svr-eq-strategy', u'SAPE', 3173, u'EQUITY', 929498, 19583, 'CSTLNM85')
